labels	genotype	treatment	replicat
WT_control_rep1	WT	control	rep1
WT_control_rep2	WT	control	rep2
dbMT_control_rep1	dbMT	control	rep1
dbMT_control_rep2	dbMT	control	rep2
dbMT_treated_rep1	dbMT	treated	rep1	
dbMT_treated_rep2	dbMT	treated	rep2
oxMT_control_rep1	oxMT	control	rep1
oxMT_control_rep2	oxMT	control	rep2
oxMT_treated_rep1	oxMT	treated	rep1
oxMT_treated_rep2	oxMT	treated	rep2
siMT_control_rep1	siMT	control	rep1
siMT_control_rep2	siMT	control	rep2
siMT_treated_rep1	siMT	treated	rep1
siMT_treated_rep2	siMT	treated	rep2
WT_treated_rep1	WT	treated	rep1
WT_treated_rep2	WT	treated	rep2
